#Time (s),Channel 1 (V),Channel 2 (V)
-8.19e-05,0.5698169038798336,0.2844514053982354
-8.188e-05,-0.5662431268503407,-0.282029502537321
-8.185999999999999e-05,-0.5615500491193782,-0.279650758472803
-8.184e-05,-0.5555160920367213,-0.276252552666354
-8.182e-05,-0.5494821349540561,-0.2735339880211908
-8.18e-05,-0.5437833977093193,-0.2714950645373195
-8.177999999999999e-05,-0.5400959794921366,-0.2691163204728031
-8.176e-05,-0.5350676819232536,-0.2670773969889329
-8.174e-05,-0.528698505002663,-0.2633393706018347
-8.172e-05,-0.5240054272717033,-0.2602809853760278
-8.169999999999999e-05,-0.5183066900269666,-0.2585818824728018
-8.167999999999999e-05,-0.5129431726201531,-0.2568827795695739
-8.166e-05,-0.5079148750512701,-0.2528049326018333
-8.164e-05,-0.5022161378065333,-0.2511058296986073
-8.161999999999999e-05,-0.4951765212100937,-0.2477076238921552
-8.159999999999999e-05,-0.490818663317057,-0.2449890592469922
-8.158e-05,-0.4847847062343999,-0.2419306740211881
-8.156e-05,-0.4797564086655118,-0.2395519299566703
-8.154e-05,-0.4747281110966264,-0.2364935447308635
-8.151999999999999e-05,-0.4696998135277374,-0.2344546212469904
-8.15e-05,-0.461654537417528,-0.2303767742792517
-8.148e-05,-0.4572966795244904,-0.227318389053443
-8.146e-05,-0.4499218430901251,-0.2245998244082813
-8.143999999999999e-05,-0.4458992050350168,-0.2215414391824745
-8.142e-05,-0.4388595884385804,-0.2198423362792492
-8.14e-05,-0.4334960710317661,-0.215764489311506
-8.138e-05,-0.4264564544353265,-0.2123662835050539
-8.135999999999999e-05,-0.4231042560560696,-0.2096477188598923
-8.133999999999999e-05,-0.4167350791354792,-0.2079486159566646
-8.132e-05,-0.4117067815665961,-0.204210589569569
-8.13e-05,-0.4050023848080823,-0.202511486666343
-8.127999999999999e-05,-0.3996388674012711,-0.1991132808598909
-8.125999999999999e-05,-0.3956162293461605,-0.1970743573760182
-8.124e-05,-0.3905879317772796,-0.1936761515695692
-8.122e-05,-0.3835483151808379,-0.1906177663437608
-8.12e-05,-0.376843918422324,-0.1878992016985992
-8.117999999999999e-05,-0.3708099613396592,-0.1845009958921461
-8.116e-05,-0.3657816637707784,-0.1821222518276318
-8.114e-05,-0.3584068273364108,-0.1790638666018239
-8.112e-05,-0.3533785297675255,-0.1756656607953718
-8.109999999999999e-05,-0.3493558917124171,-0.1729470961502102
-8.108e-05,-0.3386288568987998,-0.1688692491824696
-8.106e-05,-0.3346062188436867,-0.1664905051179513
-8.104e-05,-0.3289074815989499,-0.1644515816340801
-8.101999999999999e-05,-0.322203084840436,-0.161053375827628
-8.099999999999999e-05,-0.3158339079198455,-0.1576551700211744
-8.098e-05,-0.3108056103509624,-0.1542569642147239
-8.096e-05,-0.3054420929441514,-0.1511985789889171
-8.093999999999999e-05,-0.2987376961856375,-0.1488198349244007
-8.091999999999999e-05,-0.2923685192650471,-0.1450818085373022
-8.09e-05,-0.2876754415340896,-0.1423632438921417
-8.088e-05,-0.28063582493765,-0.1393048586663349
-8.085999999999999e-05,-0.275272307530839,-0.1376057557631089
-8.083999999999999e-05,-0.2685679107723224,-0.1338677293760098
-8.082e-05,-0.2625339536896653,-0.129789882408271
-8.08e-05,-0.2558295569311487,-0.1267314971824623
-8.078e-05,-0.2501308196864119,-0.1246925736985911
-8.075999999999999e-05,-0.2420855435761953,-0.1212943678921391
-8.074e-05,-0.2377276856831633,-0.1178961620856886
-8.072e-05,-0.2320289484384245,-0.1148377768598802
-8.07e-05,-0.2249893318419849,-0.1114395710534281
-8.067999999999999e-05,-0.2206314739489509,-0.1083811858276213
-8.065999999999999e-05,-0.214262297028359,-0.1056626211824581
-8.064e-05,-0.2058818010802204,-0.1022644153760076
-8.062e-05,-0.2015239431871864,-0.09920603015020074
-8.059999999999999e-05,-0.1958252059424496,-0.09682728608568431
-8.057999999999999e-05,-0.1884503695080818,-0.09410872144052081
-8.056e-05,-0.1827516322633476,-0.09003087447278021
-8.054e-05,-0.1763824553427594,-0.08765213040826378
-8.051999999999999e-05,-0.1716893776117997,-0.08493356576310214
-8.049999999999999e-05,-0.1639793213395062,-0.07949643647277856
-8.048e-05,-0.1582805840947746,-0.07881679531148876
-8.046e-05,-0.1505705278224811,-0.07337966602116518
-8.044e-05,-0.14520701041567,-0.07100092195664874
-8.041999999999999e-05,-0.1385026136571561,-0.0679425367308419
-8.04e-05,-0.1328038764124219,-0.06590361324697161
-8.038e-05,-0.1257642598159797,-0.06216558685987342
-8.036e-05,-0.1204007424091687,-0.06114612511793781
-8.033999999999999e-05,-0.1143667853265062,-0.05536917524696933
-8.032e-05,-0.1069919488921443,-0.05299043118245398
-8.03e-05,-0.1019636513232555,-0.05095150769858166
-8.028e-05,-0.09358315537511321,-0.0461940195695488
-8.025999999999999e-05,-0.08922529748207919,-0.04517455782761318
-8.023999999999999e-05,-0.08050958169600902,-0.03973742853728852
-8.022e-05,-0.07581650396505146,-0.03667904331148306
-8.02e-05,-0.07011776672031468,-0.03464011982761184
-8.017999999999999e-05,-0.06140205093424665,-0.03158173460180499
-8.015999999999999e-05,-0.05670897320328344,-0.02716406705341625
-8.014e-05,-0.04899891693099951,-0.02478532298890198
-8.012e-05,-0.04262974001040783,-0.02070747602115844
-8.01e-05,-0.03592534325189397,-0.01730927021470639
-8.007999999999999e-05,-0.0322379250347086,-0.01527034673083377
-8.006e-05,-0.02620396795205161,-0.01221196150502971
-8.004e-05,-0.01748825216598084,-0.008813755698576273
-8.002e-05,-0.01346561411087252,-0.005415549892124226
-7.999999999999999e-05,-0.007431657028210043,-0.003716446988898202
-7.998e-05,0.0002783992440773958,0.0003613999788424009
-7.996e-05,0.0053066968129663,0.002400323462715484
-7.994e-05,0.01402241259903432,0.006817991011103147
-7.991999999999999e-05,0.01737461097829126,0.009876376236909989
-7.989999999999999e-05,0.02307334822303094,0.01293476146271822
-7.988e-05,0.02944252514361621,0.01599314668852368
-7.986e-05,0.03715258141590716,0.01871171133368531
-7.983999999999999e-05,0.04318653849856963,0.02210991714013736
-7.981999999999999e-05,0.04989093525708654,0.0255081229465908
-7.98e-05,0.05659533201559432,0.02856650817239486
-7.978e-05,0.06162362958448276,0.03094525223691269
-7.976e-05,0.06765758666714525,0.03400363746271953
-7.973999999999999e-05,0.07637330245321586,0.03910094617239884
-7.972e-05,0.08207203969794745,0.041819510817558
-7.97e-05,0.08978209597024099,0.04487789604336608
-7.968e-05,0.09548083321497777,0.04793628126917292
-7.965999999999999e-05,0.1021852299734916,0.05201412823691538
-7.964e-05,0.1085544068940769,0.05337341055949558
-7.962e-05,0.1139179243008909,0.05711143694659345
-7.96e-05,0.1199518813835534,0.05949018101110989
-7.957999999999999e-05,0.1259858384662159,0.06288838681756194
-7.955999999999999e-05,0.1316845757109565,0.06628659262401522
-7.954e-05,0.140065071659095,0.06900515726917562
-7.952e-05,0.1450933692279804,0.07274318365627287
-7.949999999999999e-05,0.1521329858244199,0.07580156888207971
-7.947999999999999e-05,0.1595078222587867,0.07818031294659801
-7.946e-05,0.1628600206380406,0.08225815991433674
-7.944e-05,0.1709052967482587,0.08531654514014544
-7.942e-05,0.1759335943171441,0.08735546862401668
-7.939999999999999e-05,0.1836436505894371,0.09177313617240543
-7.938e-05,0.1880015084824671,0.09415188023691969
-7.936e-05,0.1950411250789087,0.0958509831401468
-7.934e-05,0.2004046424857198,0.1006084712691797
-7.931999999999999e-05,0.2074442590821593,0.1046863182369221
-7.93e-05,0.2148190955165212,0.1070650623014375
-7.928e-05,0.2195121732474843,0.1097836269466002
-7.926e-05,0.2262165700059982,0.1118225504304714
-7.923999999999999e-05,0.2335914064403634,0.1162402179788591
-7.921999999999999e-05,0.2399605833609538,0.118279141462732
